lead_sponsor_class,n,universe,source_id
OTHER,671,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
INDUSTRY,395,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
OTHER_GOV,16,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
NIH,15,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
FED,5,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
INDIV,5,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
NETWORK,3,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
AMBIG,1,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
