phase,n,universe,source_id
NA,445,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE2,187,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE3,162,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE1,135,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE4,95,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE1;PHASE2,57,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
EARLY_PHASE1,15,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
PHASE2;PHASE3,15,cf_like_excluding_ncfb_heuristic,clinicaltrials_gov_api_v2
