nct_id,brief_title,overall_status,lead_sponsor_class,phase,start_date,ncfb_reason
NCT02614300,The Role of Pulmonary Rehabilitation and Airways Clearance Techniques in the Multidisciplinary Management of Non CF Bronchiectasis,UNKNOWN,OTHER,NA,2015-11,non-cystic fibrosis bronchiectasis
NCT02625246,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE1,2016-02-04,non-cystic fibrosis bronchiectasis
NCT02657473,Inhaled Nebulized Tobramycin in Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE2;PHASE3,2016-08-13,non-cystic fibrosis bronchiectasis
NCT02661438,Summative Usability Study of Ciprofloxacin Dry Powder for Inhalation Using Placebo,COMPLETED,INDUSTRY,NA,2016-01-12,non-cystic fibrosis bronchiectasis
NCT02712983,"Dose-finding Study to Assess the Efficacy, Safety and Tolerability of Tobramycin Inhalation Powder in Patients With Non-Cystic Fibrosis Bronchiectasis and Pulmonary P. Aeruginosa Infection",COMPLETED,INDUSTRY,PHASE2,2017-02-08,non-cystic fibrosis bronchiectasis
NCT02782312,Salmeterol-Fluticasone Combined Inhaled Therapy for Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE4,2011-06,non-cystic fibrosis bronchiectasis
NCT02823587,Pulmonary Rehabilitation in Non-Cystic Fibrosis Bronchiectasis,UNKNOWN,OTHER,NA,2016-07,non-cystic fibrosis bronchiectasis
NCT02883101,The Effects of Pulmonary Rehabilitation in Patients With Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2015-06,non-cystic fibrosis bronchiectasis
NCT03056326,"A Study to Investigate Safety, Tolerability and Pharmacokinetics of Single and Repeat Doses of CHF6333 in Healthy Subjects",COMPLETED,INDUSTRY,PHASE1,2016-11,non-cystic fibrosis bronchiectasis
NCT03093974,Efficacy and Safety of Inhaled CMS in Bronchiectasis Subjects With Chronic P. Aeruginosa Infection. (PROMIS-I),COMPLETED,INDUSTRY,PHASE3,2017-06-06,non-cystic fibrosis bronchiectasis
