nct_id,intervention_type,intervention_name,description
NCT04533646,DRUG,Insulin,"Participants will be asked to dose insulin during the first week using fixed doses. During the second week of the study, participants will dose insulin based on carbohydrate counting. Blood sugar control will be compared between the 2 weeks to determine the outcomes of the study."
NCT04533646,DEVICE,Continuous glucose monitor (CGM),Participants will be required to wear a CGM to measure glucose trends
NCT04094441,OTHER,chest physiotherapy,chest physiotherapy
NCT02971839,DRUG,VX-561,
NCT02971839,DRUG,Placebo,
NCT02971839,DRUG,IVA,
NCT00537602,DRUG,miglustat,
NCT00537602,DRUG,placebo,
NCT04058366,DRUG,ELX/TEZ/IVA,Fixed-dose combination (FDC) tablet for oral administration.
NCT04058366,DRUG,IVA,Tablet for oral administration.
NCT00787917,DRUG,Omalizumab,Omalizumab subcutaneous injections of 600 mg daily.
NCT00787917,DRUG,Placebo,Placebo subcutaneous injections blinded to match experimental arm dosing regimen.
NCT00787917,DRUG,Itraconazole,Itraconazole twice daily with a maximum daily dose of 400 mg.
NCT00450073,DRUG,ergocalciferol (vitamin D2),"50,000 IU weekly"
NCT00450073,DEVICE,Sperti Del Sol Lamp,5 times a week for 12 weeks
NCT00450073,DRUG,Vitamin D3,"50,000 IU weekly"
NCT04153669,BEHAVIORAL,Exercise-NMES,Exercise-NMES
NCT04153669,BEHAVIORAL,Exercise-No NMES,Exercise-No NMES
NCT01303068,DEVICE,13C urea breath test Kit,"20 and 50 mg, 13C urea breath test: urea nebulizer solution to detect Pseudomonas"
NCT06160713,DRUG,Itraconazole 65 MG,Two capsules of suba-itraconazole 65 mg twice daily for 6 months
NCT06160713,OTHER,Standard care,Standard care for bronchiectasis
NCT00930982,DRUG,"Ciprofloxacin (Cipro, BAYQ3939)","Inhalation of 32,5mg Ciprofloxacin inhaled twice a day"
NCT00930982,DRUG,Placebo,Inhalation of matching placebo twice a day
NCT00255242,DRUG,Simvastatin treatment for 28 days,40 mg / day
NCT04744766,PROCEDURE,major duct excision,2 methods of major/central mammary duct excision are compared as regard the outcome
NCT03938324,BEHAVIORAL,PiCASO Intervention Group,"This mobile health intervention utilizes an established telephone/text based secure interface to allow AYAs access knowledge, experience, and instrumental/emotional support from a trained peer coach who has already developed independence an active self-manager. Peers with shared experiences provide instrumental (e.g., health maintenance skills) and emotional support that likely lead to improvements in quality of life. Involving peers in supporting AYAs with chronic conditions to promote self-management and patient activation disrupts the typical over-reliance on the parent and health care provider that often impedes developing independence."
NCT03938324,BEHAVIORAL,Sham Comparator: Attention Control Group,"Over 12 months the attention control group participants will receive a monthly electronic newsletter with educational content about childhood onset chronic condition management and the differences between pediatric and adult health care systems, as well as a monthly phone call from study staff to ensure receipt of the newsletter and to answer questions regarding content, and an opportunity to link them to other resources. If participants report health concerns they will be directed to contact their health care team."
NCT02273661,DRUG,Liposomal amphotericin B (Ambisome®),An aerosol of Liposomal Amphotericin B (Ambisome®) at 25 mg x 1/ week will be administered during 6 months
NCT02273661,DRUG,placebo,An aerosol of isotonic saline x 1/ week will be administered during 6 months
NCT01183286,BEHAVIORAL,CFFONE,"A password-protected, secure website, which can be accessed via a web capable cell phone. The website contains age appropriate medical and behavioral information, disease management tools and social networking features for adolescents and young people who have Cystic Fibrosis."
NCT01183286,BEHAVIORAL,CF website,A CF-related educational website which has some areas of CF information and services relevant to adolescents.
NCT02516410,DRUG,VX-661 plus ivacaftor combination,
NCT02516410,DRUG,Ivacaftor,
NCT02516410,DRUG,Placebo (matched to VX-661 plus ivacaftor combination),
NCT02516410,DRUG,Placebo (matched to ivacaftor),
NCT03635762,BEHAVIORAL,Be In Charge,comparison of pre and post-program weight and calorie intake
NCT06322446,OTHER,Exercise,"16-week exercise intervention: At the beginning of the intervention, we will conduct a face-to-face familiarisation session with the exercises of the training programme. The intervention will consist of 2 sessions/week for 16 weeks. Each session consists of three stages: (i) Warm-up: 10 min of joint mobility and low intensity exercises involving the musculature to be worked in that session; (ii) Main part: circuit training mainly composed of strength exercises targeting the different muscle groups of the body and playing activities (iii) Cool down: 10 min with guided breathing work and stretching of the main muscle groups worked"
NCT00237523,DRUG,IoGen (molecular iodine),
NCT02035488,DRUG,Tobramycin,"Tobramycin dry powder 30 mg inhalation per dose; Dose escalation: 30-60-120 and 240 mg, each one time. One dose per week."
NCT01707290,DRUG,Ivacaftor,"150 mg tablet, oral use, every 12 hours (q12h)"
NCT00615576,DRUG,SB-656933,"SB-656933 will be available as white film coated, round tablet and will be available in strengths of 50 milligrams, administered orally once daily."
NCT00615576,DRUG,Placebo,"A placebo tablet to visually match the SB-656933 tablet will also be supplied, administered orally once daily."
NCT06339450,OTHER,walk tours,"* During 5 days the patient will walk 4 hours in urban green space (open-space areas reserved for parks and other ""green spaces"", including plant life, water features -also referred to as blue spaces and other kinds of natural environment). The 3 hours walk tour includes a lunch break of one hour in the green space.
* During 5 days the patient will walk 4 hours in urban space (including 3 hours walk around the city and one-hour lunch break."
NCT01179347,DRUG,tiotropium Respimat® inhaler,to evaluate safety and efficacy tiotropium delivered with Respimat® inhaler compared to placebo.
NCT01179347,DRUG,Placebo Respimat® inhaler,patient to receive placebo matching active drug once daily
NCT02781610,DRUG,Standard of care IV antibiotic(s),IV antibiotics will be selected by the treating physician following standard of care. Duration of treatment is the assigned intervention.
NCT00786513,OTHER,Conventional antimicrobial susceptibility testing,Subjects in this arm will be prescribed 14 days of an intravenous 2 drug antibiotic combination based on conventional planktonic antimicrobial susceptibility testing results.
NCT00786513,OTHER,Biofilm antimicrobial susceptibility testing,Subjects in this arm will be prescribed 14 days of an intravenous 2 drug antibiotic combination based on biofilm antimicrobial susceptibility testing results.
NCT07071324,BEHAVIORAL,CF Wellness Program,"Intervention modules are 1) Introduction \& Fatigue Explained, 2) Finding Balance between Activity \& Rest, 3) Physical Activity, Self-Review \& Planning, 4) Improving Your Sleep, 5) Managing Emotions, 6) Changing Less Helpful Thoughts, 7) Learning to Relax \& Manage Stress, and 8) Accessing Social Support and Preparing for the Future."
NCT03154541,DRUG,Synrinse,"Non-CF Cohort The first 10 non-CF subjects will be instructed to once daily irrigate both nasal passages with SynRinse (supplied) delivered via nasal irrigation using the NeilMed® Sinus Rinse™ system for 1 week. The subjects will be asked to refrain from performing any sinus irrigations during the test treatment period with any product including saline.

The second set of 10 non-CF subjects (if the study continues to this point) will be instructed to irrigate both nasal passages twice daily (rather than once daily) for one week with SynRinse (supplied). The subjects will be asked to refrain from performing any sinus irrigations during the test treatment period with any product including saline.

CF Cohort The first 5 subjects in the CF cohort will irrigate with with SynRinse delivered via nasal irrigation using the NeilMed Sinus Rinse system for 1 week. The second set of 5 subjects with CF will irrigate both nasal passages twice daily for one week with SynRinse."
NCT06996951,OTHER,STOP NASAL SALINE IRRIGATION WITH OR WITHOUT STEROID,PATIENT WILL STOP USING NASAL SALINE IRRIGATION WITH OR WITHOUT STEROID
NCT06996951,DRUG,CONTINUE NASAL SALINE IRRIGATION WITH OR WITHOUT STEROID,PATIENT WILL CONTINUE USING NASAL SALINE IRRIGATION WITH OR WITHOUT STEROID
NCT01887197,OTHER,Absorptive clearance scan,Subjects inhale a nebulized mixture of the radiopharmaceuticals Indium 111-DTPA and Technetium 99m sulfur colloid.
NCT01887197,DRUG,inhaled hypertonic saline (7%),nebulized hypertonic saline (7%)
NCT01887197,DRUG,mannitol inhalation powder,mannitol inhalation powder
NCT04922255,DEVICE,Reusable Underwear,Reusable Underwear are similarly available for purchase online and are absorbent underwear for bladder leak protection
NCT04922255,DEVICE,Disposable urethral support,The disposable urethral support is a tampon-like device that is available over the counter to help women with urinary incontinence (UI)
NCT04922255,BEHAVIORAL,Pelvic floor physical therapy,Experienced pelvic health physical therapists (at University of Pittsburgh) will complete two visits one week apart.
NCT05495243,DRUG,ARINA-1,"ARINA-1 (88 mg/mL ascorbic acid, ASC; 150 mg/mL reduced glutathione, GSH)"
NCT05495243,DRUG,Placebo,Isotonic saline (0.9%)
NCT05267418,DEVICE,Automated nasal O2 titration with FreeO2,"The participant received, in a randomized, cross-over study design: 1) automated nasal oxygen titration administered by a closed loop system (FreeO2) alone, 2) or with high flow nasal therapy (Airvo2) set at 60 liters per minute with nasal canula, or 3) oxygen by nasal canula at a fixed flow of 2 liters per minute during the 3-min constant speed shuttle test (3-min CSST) and endurance shuttle walking test (ESWT)"
NCT01837589,OTHER,QCT,
NCT01837589,OTHER,DXA,
NCT04415268,BEHAVIORAL,Exercise,"Surpervised exercise program: Includes a concurrent exercise intervention (strength training and aerobic training), 3 days a week, 60 minutes sessions."
NCT04415268,BEHAVIORAL,Unsupervised exercise,Unsupervised exercise program: The same exercise program learned during the supervised phase will be practiced at home.
NCT04415268,DRUG,CFTR Modulators,"Standard of care: Lumacaftor with Ivacaftor or Tezacaftor combined with Ivacaftor.

For children between 6 and 11 years of age, Lumacaftor 400 mg combined with Ivacaftor 500 mg in total per day, divided into 2 doses per day; for those over 11 years of age, Tezacaftor 100 mg combined with Ivacaftor 150 mg in the morning, adding a dose of Ivacaftor 150 mg at night.

https://www.clinicaltrialsregister.eu/ctr-search/trial/2019-000833-37/ES"
NCT01018368,DRUG,VX-770,"In Period 1, subjects will receive a single oral dose of VX-770 150 mg on Day 1. In Period 2, subjects will receive a single oral dose of VX-770 150 mg on Day 6."
NCT01018368,DRUG,Rifampin,"In Period 2, subjects will receive a daily oral dose of rifampin 600 mg on Days 1 through 10"
NCT06526923,COMBINATION_PRODUCT,SP-101 and doxorubicin Cohort 1,Single inhaled dose of SP-101 and doxorubicin Dose 1
NCT06526923,COMBINATION_PRODUCT,SP-101 and doxorubicin Cohort 2,Single inhaled dose of SP-101 and doxorubicin Dose 2
NCT05157646,BEHAVIORAL,Fitness tracker,Participants will be asked to wear a Fitbit fitness tracker and report their fitness activity to the study team
NCT00004747,DRUG,mucoid exopolysaccharide P. aeruginosa immune globulin IV,
NCT04732195,DEVICE,Pilocarpine microneedle patch,"Each microneedle (MN) patch contains an array of solid, water-soluble, micron-scale needles that encapsulate the medication (Pilocarpine). The patch form can be placed directly on the skin."
NCT04732195,DEVICE,Pilocarpine Iontophoresis,Pilocarpine Iontophoresis is a process of transdermal pilocarpine delivery by use of a voltage gradient on the skin. An agar gel disc containing pilocarpine is placed under the electrodes which are connected to the Macroduct 3700 Sweat Inducer device.
NCT04687475,OTHER,Clinical Tool (Mobile Spirometry and Survey),"The clinical tool is a combination of home spirometry measurements and a patient survey measuring patient reported outcomes including the Cystic Fibrosis Respiratory Symptom Diary (CFRSD) and Chronic Respiratory Infection Symptom Score (CRISS©), with permission from the Seattle Quality of Life Group."
NCT06660992,DRUG,"HSK31858, tablet",HSK31858 is a novel inhibitor of DPP1 developed by Hisco Pharmaceutical and can reduce pulmonary exacerbations over a 52-week treatment period in patients with non-cystic fibrosis bronchiectasis
NCT06660992,DRUG,Placebo,the placebo comparator of study
NCT01991028,DRUG,Radiolabelled OligoG CF-5/20 DPI,Inhalation with dry powder by Mia Monodose Inhaler
NCT01991028,DRUG,Radiolabelled OligoG CF-5/20 6% Solution,Inhalation with aerosolised solution by nebuliser
NCT00484263,DRUG,Hypertonic saline 6% -,Hypertonic saline (6%) - 5mls twice a day via a nebuliser for 12 months
NCT00458614,DRUG,Lansoprazole,
NCT02456103,DRUG,Ataluren,Ataluren will be provided as a vanilla-flavored powder to be mixed with water or milk.
NCT03435939,DRUG,Losartan,50 mg/day for 7 days followed by 100 mg/day for 12 weeks
NCT04322929,DRUG,Roflumilast Oral Tablet,"Roflumilast, a phosphodiesterase 4 (PDE4) inhibitor is approved worldwide (including Hong Kong) for treatment of severe chronic obstructive pulmonary disease (COPD) with frequent exacerbations. Roflumilast has been shown to have anti-inflammatory effect in patients with COPD, with significant reduction of sputum absolute neutrophil count, IL-8 and neutrophil elastase compared with placebo treatment. Roflumilast can also improve the lung function parameters in patients with COPD and reduce the rate of moderate-to-severe exacerbations."
NCT00388505,DRUG,Tobramycin Inhalation Powder,Tobramycin Inhalation Powder (TIP) capsules for inhalation.
NCT00388505,DRUG,Tobramycin Solution for Inhalation,"Tobramycin solution for inhalation (TOBI), supplied as 300 mg/5mL ampoules administered with a nebulizer"
NCT07175012,DEVICE,ELECTROVEST,"A wearable vest device that delivers airway clearance therapy through high-frequency chest wall oscillation (HFCWO) combined with surface neuromuscular electrostimulation (EEM). The session includes a 2-minute warm-up phase at 4 Hz, 16 minutes of active stimulation at 8 Hz, and a 2-minute recovery phase at 4 Hz (total duration: 20 minutes). The intervention is administered during supervised physiotherapy sessions to promote mucociliary clearance and respiratory muscle activation in patients with chronic respiratory diseases."
NCT07175012,DEVICE,The Vest® Model 105,"A conventional airway clearance therapy using a commercial high-frequency chest wall oscillation (HFCWO) device (The Vest® Model 105 or AffloVest®). The session includes a 2-minute warm-up phase at 13 Hz, 16 minutes of treatment at 20 Hz, and a 2-minute cool-down at 13 Hz (total duration: 20 minutes). This intervention serves as the active comparator in the crossover trial."
NCT02929420,DRUG,Xiaoru Sanjie capsules,"Oral medication for a total of 90 days. According to the instructions, P.O., three times a day, each time three tablets, take a month as a treatment course, continuous use of 3 courses."
NCT02929420,DRUG,Xiao Yao pills,"Oral medication for a total of 90 days. According to the instructions, P.O., three times a day, each time three tablets, take a month as a treatment course, continuous use of 3 courses."
NCT05033080,DRUG,VX-121/TEZ/D-IVA,Fixed-dose combination tablets for oral administration.
NCT05033080,DRUG,ELX/TEZ/IVA,Fixed-dose combination tablets for oral administration.
NCT05033080,DRUG,IVA,Tablet for oral administration.
NCT05033080,DRUG,Placebo (matched to VX-121/TEZ/D-IVA),Placebo matched to VX-121/TEZ/D-IVA for oral administration.
NCT05033080,DRUG,Placebo (matched to ELX/TEZ/IVA),Placebo matched to ELX/TEZ/IVA for oral administration.
NCT05033080,DRUG,Placebo (matched to IVA),Placebo matched to IVA for oral administration.
NCT02955888,DRUG,PBI4050,Investigational Medicinal Product
NCT02955888,DRUG,Placebo,Comparator
NCT03870841,DRUG,PC945,"PC945, nebulized"
NCT03756922,DRUG,FDL169,CFTR corrector
NCT03756922,DRUG,FDL176,CFTR potentiator
NCT01923753,DEVICE,Aerosure at 15 Hz,Active Aerosure HFAO device operating at lower frequency
NCT01923753,DEVICE,Aerosure at 25 Hz,Active Aerosure HFAO device operating at higher frequency
NCT01923753,DEVICE,Sham Aerosure,Deactivated but identical Aerosure HFAO device
NCT00744250,DRUG,Pancrelipase,PANCRECARB MS-16
NCT00970346,DRUG,OligoG CF-5/20,Inhaled OligoG CF-5/20 will be given to healthy volunteers with different concentrations to test tolerability of the drug
NCT03227094,DIAGNOSTIC_TEST,Standard OGTT,"Standard-OGTT Plasma glucose : 0, 30, 60, 90, 120 minutes Complete biochemical profile, weight and size (body mass index), drugs list, pulmonary function by spirometry (FEV, etc.) Questionnaires CGMS training \& delivery of Jelly-Bean/75g glucose beverage"
NCT03227094,DIAGNOSTIC_TEST,Home-based OGTT (Beverage),In a random order Candy-OGTT (Jelly-Bean) or 75 g glucose beverage Glycemia every 15 minutes from CGMS collection; standardized condition (fasting + rest) Questionnaires
NCT03227094,DIAGNOSTIC_TEST,Home-based OGTT (Candy),In a random order Candy-OGTT (Jelly-Bean) or 75 g glucose beverage Glycemia every 15 minutes from CGMS collection; standardized condition (fasting + rest) Questionnaires
NCT06592742,BEHAVIORAL,Pulmonary rehabilitation (alone),"The Pulmonary Rehabilitation (PR) program for the control group includes daily aerobic exercises such as treadmill walking or cycling for 20-30 minutes at moderate intensity, tailored to improve cardiovascular fitness and respiratory function. Strength training focuses on major muscle groups with resistance exercises lasting 15-20 minutes, promoting muscle strength and endurance. Airway clearance techniques are performed for 15-20 minutes daily, using methods like chest physiotherapy or positive expiratory pressure (PEP) to clear mucus from the lungs. Breathing exercises, including diaphragmatic and pursed-lip breathing, are practiced for 10-15 minutes to improve breathing efficiency. Participants also receive education on disease management and nutritional support to meet caloric needs."
NCT06592742,BEHAVIORAL,Intervention group (PR + PMR),"The intervention group will follow a Pulmonary Rehabilitation (PR) program combined with Progressive Muscle Relaxation (PMR). Daily aerobic exercises like treadmill walking or cycling will be performed for 20-30 minutes at moderate intensity, improving cardiovascular fitness and lung function. Strength training for major muscle groups will be included, with 15-20 minutes of resistance exercises to enhance muscle strength. Airway clearance techniques, such as chest physiotherapy or PEP, will help clear mucus from the lungs in daily 15-20 minute sessions. Breathing exercises, including diaphragmatic and pursed-lip breathing, will be practiced for 10-15 minutes to improve breathing efficiency. The PMR component involves daily 20-30 minute guided sessions to reduce stress and anxiety through muscle relaxation techniques."
NCT03843541,DRUG,N-acetylcysteine (NAC) 600 mg,"NAC will be administered twice a day, morning and evening, during treatment period."
NCT03843541,DRUG,Ambroxol hydrochloride 30 mg,"Ambroxol hydrochloride will be administered twice a day, morning and evening, during treatment period."
NCT03843541,OTHER,placebo,"Placebo will be administered twice a day, morning and evening, during treatment period."
NCT03341741,DRUG,Tobramycin Powder,TOBI®Podhaler 2 x 112 mg daily for 2 x 28 days (on/off);
NCT03341741,DRUG,Colistin,Colistin solution 2 x daily 1 Mega continuously
NCT02392663,OTHER,Hypertonic saline solution,"All patients will perform 4 sessions during the same week. Each session will be include: inhalation period + bronchial drainage period. 20 minutes will be spent to perform the inhalation period. Moreover, 30 minutes will be spent to complete the bronchial drainage session post-inhalation."
NCT02392663,OTHER,Hyaneb solution,"All patients will perform 4 sessions during the same week. Each session will be include: inhalation period + bronchial drainage period. 20 minutes will be spent to perform the inhalation period. Moreover, 30 minutes will be spent to complete the bronchial drainage session post-inhalation."
NCT02392663,OTHER,Isotonic saline solution,"All patients will perform 4 sessions during the same week. Each session will be include: inhalation period + bronchial drainage period. 20 minutes will be spent to perform the inhalation period. Moreover, 30 minutes will be spent to complete the bronchial drainage session post-inhalation."
NCT07722364,DEVICE,High Frequency Chest Wall Oscillation,"High-frequency chest wall oscillation that applies external chest wall oscillations via an inflatable vest worn around the thoracic cage, increasing the air-liquid shear forces during expiration is believed to result in secretion mobilization.

The product name that will be used is Air Way Clearness system; his model is PV-900/ PV-300/PV-100, made in China."
NCT07722364,OTHER,conventional physiotherapy program directed towards improvement of pulmonary functions and quality of life.,"conventional physiotherapy program directed towards improvement of pulmonary functions and quality of life.

Conventional physiotherapy that will be applied to the control group for 30 minutes will include:

* Postural drainage according to accumulation of secretions for 10 minutes accompanied by percussion or vibration
* Active cycle breathing technique (ACBT) for 10 minutes
* Respiratory exercises for 10 minutes"
NCT03947957,DIAGNOSTIC_TEST,"collection of expectoration, stools and blood","collection of expectoration, stools and blood"
NCT03500263,DRUG,PTI-808,Active
NCT03500263,DRUG,Placebo,Placebo
NCT03500263,DRUG,PTI-801,Active
NCT03500263,DRUG,PTI-428,Active
NCT03500263,DRUG,Placebo,Placebo
NCT00753987,DRUG,Hypertonic Saline,5 ml of 7% saline will be administered via mask with Pari LC Plus nebuliser and a Pari Ultra Ned compressor.
NCT01117012,DRUG,Ivacaftor,
NCT06512064,DIAGNOSTIC_TEST,AWARE,AWARE testing to estimate lung function and aid in disease diagnosis
NCT02358798,OTHER,3 years-assessment of respiratory function,
NCT01417481,DIETARY_SUPPLEMENT,Glycine,Daily oral supplement of glycine at a dose of 0.5 g/kg divided in three doses during 8 weeks
NCT01417481,DIETARY_SUPPLEMENT,Placebo,Daily oral administration of placebo (sugar glass) at a dose of 0.5 g/kg divided in three doses during 8 weeks
NCT01155752,DRUG,Pulmozyme single use ampule,"• Each Pulmozyme single use ampule delivers 2.5 mL (2.5 mg) of the sterile solution to the nebulizer bowl. The aqueous solution contains 1.0 mg/mL dornase alfa, 0.15 mg/mL calcium chloride dihydrate, and 8.77 mg/mL sodium chloride."
NCT01155752,DRUG,placebo,identical placebo
NCT02106832,DRUG,Ciprofloxacin (BAYQ3939) dry powder for inhalation,Ciprofloxacin dry powder for inhalation (DPI) 32.5 mg inhaled twice daily in cycles of 28 days on-treatment and 28 days off-treatment.
NCT02106832,DRUG,Ciprofloxacin (BAYQ3939) dry powder for inhalation,Ciprofloxacin DPI 32.5 mg inhaled twice daily in cycles of 14 days on-treatment and 14 days off-treatment.
NCT02106832,DRUG,Placebo,Matching placebo inhaled twice daily intermittently for 28 days on / 28 days off
NCT02106832,DRUG,Placebo,Matching placebo inhaled twice daily intermittently for 14 days on / 14 days off
NCT03584841,DIAGNOSTIC_TEST,Iontophoresis sessions in forearm of subjects with pilocarpine,"The test with two iontophoresis sessions is performed in a forearm of subjects. Pilocarpine is applied during the first iontophoresis session to evoke cholinergic-induced sweat secretion. Atropine, isoprenaline and aminophylline are applied during the second iontophoresis session, to block the cholinergic component and to evoke β-adrenergic-induced sweat secretion."
NCT00406536,DIETARY_SUPPLEMENT,Lym-X-Sorb powder,"Lym-X-Sorb is an organized matrix of lyso phosphatidylcholine (LPC), free fatty acid (FFA) and monoglyceride formulated at 20wt% with flour and sugar. A dosage contains 32 grams of powder and is consumed with food twice a day (6 to 11.9 years old) or three times per day (12 to 17.9 years old) for 18 months."
NCT00406536,DIETARY_SUPPLEMENT,Placebo powder,"The placebo is composed of soybean oil, sunflower oil, fully hydrogenated cottonseed oil and flax seed oil dispersed at 16wt% on flour and sugar. The placebo is \>99% triglycerides with no trans fatty acids. The fatty acid composition and caloric content is designed to match the active supplement (Lym-X-Sorb). A dosage contains 32 grams of powder and is consumed with food twice a day (6 to 11.9 years old) or three times per day (12 to 17.9 years old) for 18 months."
NCT02378467,DRUG,7% Hypertonic Saline (HS),Administered via inhalation twice daily for 48 weeks. The delivery system is a PARI Sprint Junior nebulizer with a PARI Baby face mask or mouthpiece driven by a PARI Vios® compressor.
NCT02378467,DRUG,0.9% Isotonic Saline (IS),Administered via inhalation twice daily for 48 weeks. The delivery system is a PARI Sprint Junior nebulizer with a PARI Baby face mask or mouthpiece driven by a PARI Vios® compressor.
NCT02518672,DIETARY_SUPPLEMENT,MAG-DHA,"MAG-DHA 8 x 625 mg softgels by mouth, every day at bedtime for 90 days."
NCT02518672,DIETARY_SUPPLEMENT,Placebo,"Placebo (sunflower oil) 8 x 625 mg softgels by mouth, every day at bedtime for 90 days."
NCT01323101,DRUG,Doxycycline,"Doxycycline 40mg, 100mg, 200mg tablet once daily, or no drug for 28 days."
NCT01323101,OTHER,No doxycycline,
NCT05140967,OTHER,High Intensity Interval Training (HIIT),High Intensity Interval Training
NCT05140967,OTHER,Moderate Continuous Intensity Training (MICT),Moderate Intensity Continuous Training
NCT01586728,OTHER,Air - oxygen,"1. his routine long term treatment without nocturnal oxygen therapy during 6 weeks (air period)
2. nocturnal oxygen therapy with a stable flow to obtain a nocturnal SpO2 \> 90% (oxygen period) while continuing his routine long term treatment during 6 weeks.

During the oxygen period, the oxygen flow will be at least 1.5l/min. This flow may be increased up to 2L/min in case of the presence of nocturnal periods with SpO2 \<= 90%."
NCT01586728,OTHER,Oxygen - Air,"1. nocturnal oxygen therapy with a stable flow to obtain a nocturnal SpO2 \> 90% (oxygen period) while continuing his routine long term treatment during 6 weeks.
2. his routine long term treatment without nocturnal oxygen therapy during 6 weeks (air period) During the oxygen period, the oxygen flow will be at least 1.5l/min. This flow may be increased up to 2L/min in case of the presence of nocturnal periods with SpO2 \<= 90%."
NCT00205634,DRUG,Biaxin ( clarithromycin),
NCT04596319,BIOLOGICAL,AP-PA02,Bacteriophage administered via inhalation
NCT04596319,OTHER,Placebo,Inactive Placebo administered via inhalation
NCT07035990,DRUG,SION-451,"* Pharmaceutical form: tablet
* Route of administration: oral"
NCT07035990,DRUG,SION-2222,"* Pharmaceutical form: capsule
* Route of administration: oral"
NCT07035990,DRUG,SION-109,"* Pharmaceutical form: tablet
* Route of administration: oral"
NCT07035990,DRUG,Placebo SION-451,Placebo matched to SION-451
NCT07035990,DRUG,Placebo SION-2222,Placebo matched to SION-2222
NCT07035990,DRUG,Placebo SION-109,Placebo matched to SION-109
NCT05206097,DEVICE,Accelerometer,"For the following study, each patient will be asked to wear a portable device over a 7-day period. The accelerometer will be previously set up according to anthropometric data of the patient and scheduled to automatically start and stop accelerations registration. The patient will be asked to wear the sensor as frequently as possible, with the exception of sleep period and during aquatic activities. A diary will be delivered to the patient in order to notify any problem/issue observed during the evaluation week (for example forgetting to wear the sensor). The accelerometry assessment will be associated to a questionnaire. Each patient will have to fill in it during the evaluation week. The questionnaire is composed of various questions from three different questionnaires: Ricci \& Gagnon for subjective evaluation of PA level, CFQ-14+ for the evaluation of quality of life specifically in CF and EQ-5D for a more generic evaluation of quality of life."
NCT07485010,DRUG,Sulbactam 25mg/kg -Durlobactam 25mg/kg (Every 6 hours),"Adults and Children 12 years and older: IV sulbactam/durlobactam Greater than or equal to 130ml/min Every FOUR (4) hourly. Administered by intravenous infusion over 3 hours.

For CrCL 45 to 129ml/min 1g sulbactam/ 1g durlobactam Every SIX (6) hourly. Administer by intravenous infusion over 3 hours.

For CrCL 30 to 44ml/min

1g sulbactam/ 1g durlobactam Every EIGHT (8) hourly. Administer by intravenous infusion over 3 hours.

For CrCL 15 to 29ml/min 1g sulbactam/ 1g durlobactam Every TWELVE (12) hourly. Administer by intravenous infusion over 3 hours.

For CrCL\<15ml/min

1g sulbactam/ 1g durlobactam Every TWELVE (12) hourly for first 3 doses then reduce to every 24 hourly thereafter. Administer by intravenous infusion over 3 hours."
NCT07485010,DRUG,Ceftriaxone for Injection,"Adults and Children 12 years and older: IV ceftriaxone

1g Every TWELVE (12) hourly"
NCT07485010,DRUG,Amoxicillin,Adults and Children 12 years and older: Oral amoxicillin 1000mg Three times daily
NCT07485010,DRUG,Azithromcyin,Adults and Children 12 years and older: Oral Azithromycin 250 - 500mg Once daily If \<40kg or poorly tolerated 250mg Once daily
NCT07485010,DRUG,clarithromycin,Oral clarithromycin. Only for use if azithromycin not tolerated. Adults: 500mg twice daily. Children: 12-18 years of age: Dosing independent of weight 500mg twice daily
NCT07485010,DRUG,Clofazimine,Adults and Children 12 years and older: Oral clofazimine 100mg to 300mg Once daily
NCT07485010,DRUG,Ethambutol,"For participants with confirmed mixed NTM (slow growers + MABS) infections, there is an option to add oral ethambutol to the treatment arm in accordance with the dosing below.

Oral ethambutol 15mg/kg (rounded to account for tablet strength) OR Once daily 25mg/kg (rounded to account for tablet strength) Thrice weekly"
NCT07485010,DRUG,Amikacin Injection,"Adults: Intravenous amikacin 5mg/kg once daily or 7.5mg/kg twice daily or 20-25 mg/kg thrice weekly. Children: Intravenous amikacin 15-30 mg/kg once daily, maximum dose 1500mg"
NCT07485010,DRUG,tigecycline,"Adults: Intravenous Tigecycline 25 mg increasing by 5 mg every two doses until either maximum dose reached (50mg) or until patient is unable to tolerate twice daily. Children (≥8 years of age) intravenous tigecycline: Day 1- 0.6mg/kg twice daily to a maximum of 25mg. Day 2- 0.6mg/kg (maximum 25mg) in the morning, 1.2 mg/kg (maximum 50mg) at night. Day 3- 1.2mg/kg (maximum 50 mg) twice daily"
NCT07485010,DRUG,Imipenem + Cilastatin,Adults: Intravenous Imipenem (≥50kg) 500mg twice daily (\<50kg) 15 mg/kg twice daily. Children: intravenous imipenem Day 1- 2- 25mg/kg (maximum 1g) twice daily. DAY 3- 25mg/kg (maximum 1g) four times daily (drop to 3 if not tolerated).
NCT07485010,DRUG,Cefoxitin,Adults: If imipenem is poorly tolerated intravenous cefoxitin 200 mg/kg thrice daily. Children: if imipenem is poorly tolerated intravenous cefoxitin 50mg/kg (maximum 4g) four times daily.
NCT07485010,DRUG,Amikacin (Inhalation),"Adult: Inhaled amikacin 500mg twice daily. Children: Inhaled amikacin 500mg twice daily. PLEASE NOTE: low preservative intravenous amikacin preparation to be used as inhalation, NOT liposomal amikacin."
NCT07485010,DRUG,linezolid,"Adult: during consolidation in combination with one to three oral antibiotics (co-trimoxazole, doxycycline, moxifloxacin, bedaquiline or rifabutin) guided by participant susceptibility and tolerance. Oral linezolid 600mg once daily.

Children: \>12 years 600mg once daily."
